date,median_prem
2020-10-14,13.68
2020-10-15,13.88
2020-10-16,13.38
2020-10-19,13.32
2020-10-20,13.92
2020-10-21,15.24
2020-10-22,17.53
2020-10-23,16.18
2020-10-26,18.3
2020-10-27,18.56
2020-10-28,18.37
2020-10-29,18.31
2020-10-30,19.63
2020-11-02,18.22
2020-11-03,16.34
2020-11-04,16.9
2020-11-05,15.78
2020-11-06,15.75
2020-11-09,15.12
2020-11-10,15.57
2020-11-11,15.96
2020-11-12,15.84
2020-11-13,17.16
2020-11-16,15.79
2020-11-17,15.22
2020-11-18,14.89
2020-11-19,14.32
2020-11-20,13.9
2020-11-23,13.45
2020-11-24,14.32
2020-11-25,15.36
2020-11-26,16.42
2020-11-27,16.39
2020-11-30,16.14
2020-12-01,15.83
2020-12-02,15.95
2020-12-03,15.61
2020-12-04,15.78
2020-12-07,16.08
2020-12-08,16.01
2020-12-09,17.36
2020-12-10,17.38
2020-12-11,17.74
2020-12-14,16.5
2020-12-15,16.53
2020-12-16,16.28
2020-12-17,15.62
2020-12-18,16.54
2020-12-21,15.06
2020-12-22,17.47
2020-12-23,16.46
2020-12-24,17.26
2020-12-25,16.82
2020-12-28,16.99
2020-12-29,18.7
2020-12-30,19.01
2020-12-31,19.12
2021-01-04,17.89
2021-01-05,17.97
2021-01-06,19.57
2021-01-07,19.86
2021-01-08,19.66
2021-01-11,21.51
2021-01-12,21.09
2021-01-13,21.98
2021-01-14,22.01
2021-01-15,22.31
2021-01-18,20.8
2021-01-19,21.42
2021-01-20,21.29
2021-01-21,20.43
2021-01-22,20.9
2021-01-25,22.29
2021-01-26,23.15
2021-01-27,21.53
2021-01-28,21.6
2021-01-29,21.25
2021-02-01,20.35
2021-02-02,19.91
2021-02-03,20.63
2021-02-04,21.3
2021-02-05,20.61
2021-02-08,20.17
2021-02-09,21.36
2021-02-10,21.17
2021-02-18,19.88
2021-02-19,18.6
2021-02-22,18.65
2021-02-23,18.85
2021-02-24,17.23
2021-02-25,18.12
2021-02-26,18.49
